Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					CPPIPP								
					CPPLIP								
					CPRC								
					CPRR								
					CPS								
					CPSC								
					CPSU								
					CPU<IH>								
					CPUN<IH>								
					CPUP								
					CPVC								
					CPZ								
					CQBG<IH>								
					CQNM<IH>								
					CR<IH>								
					CRA-COLMIA								
					CRA-OLI								
					CRA-PAV								
					CRAF<IH>								
					CRAI<IH>								
					CRBF								
					CRBK<IH>								
					CRBY<IH>								
					CRCA<IH>								
					CRCM								
					CRD								
					CRE								
					CREG<IH>								
					CRGF								
					CRH								
					CRI<IH>								
					CRK<IH>								
					CRL								
					CRLA<IH>								
					CRMC<IH>								
					CRMM								
					CRO<IH>								
					CRP<IH>								
					CRRHA								
					CS								
					CS<IH>								
					CSAT<IH>								
					CSAU<IH>								
					CSB<IH>								
					CSC-CLCH								
					CSC<IH>								
					CSCA								
					CSCC								
					CSCCE								
					CSCCV								
					CSCN<IH>								
					CSCS								
					CSCS<IH>								
					CSDS								
					CSFI<IH>								
					CSGP								
					CSGT								
					CSH<IH>								
					CSIR								
					CSIRO								
					CSLA<IH>								
					CSLB								
					CSMA								
					CSPM								
					CSPU<IH>								
					CSPUP								
					CSR<IH>								
					CSTIU								
					CSU								
					CSU<IH>								
					CSUC								
					CSUF								
					CSUH<IH>								
					CSULB								
					CSUN								
					CSUR								
					CSUSB<IH>								
					CSUTC								
					CSVFC<IH>								
					CT<IH>								
					CTC<IH>								
					CTES<IH>								
					CTESN<IH>								
					CTM								
					CTN<IH>								
					CTS<IH>								
					CTY<IH>								
					CU<IH>								
					CUAC								
					CUBK								
					CUC								
					CUE								
					CUETM								
					CUFH<IH>								
					CUG								
					CUH<IH>								
					CUHK								
					CUHK<IH>								
					CUI								
					CUIC								
					CUMV								
					CUMZ								
					CUNRC								
					CUP								
					CUP<IH>								
					CURLA<IH>								
					CUS<IH>								
					CUSC								
					CUVC<IH>								
					CUW<IH>								
					CUWM								
					CUZ<IH>								
					CV								
					CVCC								
					CVCM								
					CVCW<IH>								
					CVM<IH>								
					CVRD<IH>								
					CVUL								
					CVULA								
					CWB<IH>								
					CWC<IH>								
					CWDR<IH>								
					CWU<IH>								
					CY								
					CYN<IH>								
					CYP<IH>								
					CZAA								
					CZACC								
					CZIP								
					CZL								
					CZUAA								
					CZUG								
					Coriell								
					DABUH								
					DABZ								
					DACB<IH>								
					DACL								
					DACT								
					DAFH								
					DAG<IH>								
					DAKAR<IH>								
					DAL<IH>								
					DANV<IH>								
					DAO<IH>								
					DAOM								
					DAOM<IH>								
					DAR<IH>								
					DARI								
					DAS<IH>								
					DASF								
					DAU<IH>								
					DAV<IH>								
					DAVFP<IH>								
					DAVH<IH>								
					DAWES<IH>								
					DBAI								
					DBAU								
					DBC<IH>								
					DBCUCH								
					DBFFEUCS								
					DBG<IH>								
					DBKKU1								
					DBKKU2								
					DBKKU3								
					DBM								
					DBMU								
					DBMU2								
					DBN<IH>								
					DBS								
					DBSE								
					DBSNU								
					DBUA								
					DBUM-IPT								
					DBUP								
					DBV								
					DBVPG								
					DBY<IH>								
					DCBU								
					DCDS								
					DCH<IH>								
					DCMB								
					DCMD								
					DCMP								
					DCN-UNRC								
					DCPC								
					DCR<IH>								
					DD<IH>								
					DDFF								
					DE-CSIRO								
					DE<IH>								
					DEBU								
					DECA<IH>								
					DECV<IH>								
					DEE<IH>								
					DEES								
					DEFS								
					DEI								
					DEIB								
					DEK<IH>								
					DELS<IH>								
					DELTA<IH>								
					DEN<IH>								
					DENA<IH>								
					DENF<IH>								
					DENH								
					DERM<IH>								
					DES<IH>								
					DEV<IH>								
					DEVA<IH>								
					DEWV<IH>								
					DEZA								
					DEZC								
					DFCZ								
					DFD<IH>								
					DFEC								
					DFEC<IH>								
					DFF								
					DFLC								
					DFP								
					DFRU								
					DFS<IH>								
					DFSM<IH>								
					DFV								
					DGBU								
					DGM								
					DGN<IH>								
					DGR								
					DGS<IH>								
					DGU<IH>								
					DGUB								
					DH<IH>								
					DHISUB								
					DHL<IH>								
					DHM<IH>								
					DHMB								
					DHNS<IH>								
					DI<IH>								
					DIA<IH>								
					DIAM<IH>								
					DIN<IH>								
					DINH<IH>								
					DINO								
					DIS								
					DISCA								
					DISKO<IH>								
					DIX								
					DKG<IH>								
					DLF<IH>								
					DLY<IH>								
					DM								
					DMB								
					DMBC								
					DMBUK								
					DMCCUS								
					DMCMU2								
					DMCU								
					DMDC								
					DMFS<IH>								
					DMHN<IH>								
					DMIV								
					DMKKU1								
					DMKKU2								
					DMKU								
					DMMU1								
					DMMU3								
					DMNH								
					DMNH<IH>								
					DMNS								
					DMPMC								
					DMSA								
					DMSC<IH>								
					DMSP								
					DMSRDE								
					DMST								
					DMTH<IH>								
					DMU<IH>								
					DMUIJ								
					DMUP								
					DMUR								
					DMVB								
					DNA<IH>								
					DNAP<IH>								
					DNATAX								
					DNHM								
					DNHM<IH>								
					DNPM								
					DNS<IH>								
					DNZ<IH>								
					DO<IH>								
					DOA								
					DOMO<IH>								
					DOR<IH>								
					DORC								
					DORCM								
					DORT<IH>								
					DOV<IH>								
					DPBA								
					DPIC								
					DPIH								
					DPIQM								
					DPIWE-FHU								
					DPMWA								
					DPNC								
					DPPC								
					DPU<IH>								
					DPUA								
					DPUP								
					DQTC<IH>								
					DR<IH>								
					DS<IH>								
					DSC								
					DSC<IH>								
					DSEC								
					DSIR								
					DSM								
					DSM<IH>								
					DSMZ								
					DSP								
					DSSC								
					DSU<IH>								
					DSY<IH>								
					DTE<IH>								
					DTIC								
					DTN<IH>								
					DU								
					DUB<IH>								
					DUBN<IH>								
					DUE<IH>								
					DUF<IH>								
					DUGAND<IH>								
					DUH<IH>								
					DUIS<IH>								
					DUKE<IH>								
					DUL<IH>								
					DUM								
					DUML								
					DUOF<IH>								
					DUP<IH>								
					DUR<IH>								
					DUSS<IH>								
					DVBID								
					DVCC								
					DVCM								
					DVM<IH>								
					DVNM								
					DVR<IH>								
					DVZUT								
					DWC<IH>								
					DWN<IH>								
					DWP<IH>								
					DWT								
					DWU<IH>								
					DZCU								
					DZIB								
					DZKU								
					DZMU								
					DZS<IH>								
					DZSASP								
					DZUC								
					DZUFRGS								
					DZUH								
					DZUL								
					DZUP								
					DZVMLP								
					DZVU								
					DZW								
					DiSTA								
					E<IH>								
					EA<IH>								
					EAA<IH>								
					EAC<IH>								
					EAFM<IH>								
					EAN<IH>								
					EAP<IH>								
					EAPZ								
					EAR<IH>								
					EATRO								
					EBA<IH>								
					EBCC								
					EBD								
					EBDS								
					EBE<IH>								
					EBF<IH>								
					EBH<IH>								
					EBMC								
					EBMTV								
					EBNHS<IH>								
					EBRG								
					EBUM<IH>								
					EBV<IH>								
					ECACC								
					ECENT								
					ECH<IH>								
					ECM<IH>								
					ECNB								
					ECOCH								
					ECOL								
					ECOMAR								
					ECON<IH>								
					ECOSUR								
					ECSC<IH>								
					ECSFI								
					ECU<IH>								
					ECUAMZ<IH>								
					ECUH<IH>								
					ECWP<IH>								
					EDC<IH>								
					EDH<IH>								
					EDNC								
					EDTU<IH>								
					EEBP								
					EELM								
					EFC<IH>								
					EFCC<IH>								
					EFH<IH>								
					EFM<IH>								
					EFWM								
					EGE-MACC								
					EGE<IH>								
					EGH<IH>								
					EGHB<IH>								
					EGHF<IH>								
					EGNP								
					EGR<IH>								
					EHCV<IH>								
					EHH<IH>								
					EI								
					EIF<IH>								
					EIHU								
					EINS								
					EISC								
					EIU<IH>								
					EJ								
					EKU								
					EKY<IH>								
					ELCAK								
					ELM								
					ELMF								
					ELN<IH>								
					ELRG<IH>								
					ELS<IH>								
					ELVE<IH>								
					EM<IH>								
					EMA<IH>								
					EMAG								
					EMAU								
					EMBT								
					EMC<IH>								
					EMCC								
					EMEC								
					EMET								
					EMMA<IH>								
					EMNH<IH>								
					EMPARN								
					EMU								
					EMY								
					ENAG<IH>								
					ENCB								
					ENCB-IPN								
					ENCB<IH>								
					ENG<IH>								
					ENIH								
					ENMU								
					ENMUNHM								
					ENP								
					ENS<IH>								
					ENSJ<IH>								
					ENT<IH>								
					EONJ<IH>								
					EOSC<IH>								
					EOSCVM								
					EOSTS<IH>								
					EPAL								
					EPHR<IH>								
					EPM<IH>								
					EPN								
					EPRL								
					EPU<IH>								
					ER<IH>								
					ERA<IH>								
					ERAEP								
					ERCB<IH>								
					ERCULE								
					ERDB<IH>								
					ERE<IH>								
					EREM<IH>								
					ERH<IH>								
					ERHM<IH>								
					ERSAF								
					ERZ<IH>								
					ESA<IH>								
					ESAL<IH>								
					ESAP								
					ESEC								
					ESFM								
					ESK<IH>								
					ESN<IH>								
					ESNHS<IH>								
					ESRC								
					ESRN								
					ESS<IH>								
					ESSE<IH>								
					ESUG								
					ESUW								
					ET								
					ETE								
					ETH								
					ETH<IH>								
					ETHZ								
					ETL<IH>								
					ETNH<IH>								
					ETON<IH>								
					ETST<IH>								
					ETSU<IH>								
					EU<IH>								
					EUB								
					EUMJ								
					EUQ								
					EUSL								
					EVCV								
					EVE<IH>								
					EVMU<IH>								
					EWH<IH>								
					EWM<IH>								
					EWNHM								
					EX								
					EXN<IH>								
					EXR<IH>								
					F<IH>								
					FAA<IH>								
					FABR<IH>								
					FACHB								
					FACS								
					FAK								
					FAKOU								
					FAKU								
					FAN<IH>								
					FAR<IH>								
					FARM<IH>								
					FAU<IH>								
					FAUC<IH>								
					FAUN								
					FAVU								
					FB<IH>								
					FBA<IH>								
					FBC<IH>								
					FBCC								
					FBCS<IH>								
					FBGMU								
					FBMN<IH>								
					FBQ								
					FBUB								
					FBWA								
					FC-DPV								
					FCAB<IH>								
					FCAP								
					FCBP								
					FCDA								
					FCL								
					FCLR								
					FCM								
					FCME<IH>								
					FCMM								
					FCNI								
					FCO<IH>								
					FCQ<IH>								
					FCRM								
					FCT								
					FCTH								
					FCU<IH>								
					FCUG								
					FDA								
					FDC								
					FDG<IH>								
					FDLW<IH>								
					FDNR								
					FDUC								
					FDVC								
					FEN<IH>								
					FER<IH>								
					FERM								
					FEZA<IH>								
					FFB<IH>								
					FFBNM<IH>								
					FFCL								
					FFR<IH>								
					FFS<IH>								
					FFSUC								
					FG								
					FGC<IH>								
					FGG								
					FGGUB								
					FGIC								
					FGSC								
					FH								
					FH<IH>								
					FHI<IH>								
					FHK<IH>								
					FHKS								
					FHKSC<IH>								
					FHL<IH>								
					FHO<IH>								
					FHSM								
					FI<IH>								
					FIAF<IH>								
					FICB								
					FIDS								
					FIEC								
					FIJI								
					FINH<IH>								
					FIOC								
					FIP								
					FIPF<IH>								
					FIPIA<IH>								
					FJFC<IH>								
					FJSI<IH>								
					FKE<IH>								
					FKEN<IH>								
					FLACC								
					FLAS<IH>								
					FLC								
					FLD<IH>								
					FLIN								
					FLK<IH>								
					FLMNH								
					FLOR<IH>								
					FLSP<IH>								
					FM								
					FM<IH>								
					FMB<IH>								
					FMC<IH>								
					FMH<IH>								
					FMJ								
					FML								
					FMM<IH>								
					FMNH								
					FMP<IH>								
					FMPC								
					FMR								
					FMRI								
					FMSS								
					FMUH<IH>								
					FNCC								
					FNFR<IH>								
					FNLO<IH>								
					FNM<IH>								
					FNML								
					FNP								
					FNPS<IH>								
					FNU								
					FNU<IH>								
					FOR<IH>								
					FOSJ								
					FPDB<IH>								
					FPF<IH>								
					FPM								
					FPRL<IH>								
					FQH<IH>								
					FR<IH>								
					FRC								
					FRC<IH>								
					FRCL								
					FRCS								
					FRDC								
					FRI								
					FRI<IH>								
					FRIHP								
					FRIM								
					FRLC								
					FRLH<IH>								
					FRLM								
					FRM								
					FRNZ								
					FRP<IH>								
					FRR								
					FRS<IH>								
					FRSKU								
					FRU<IH>								
					FSAG								
					FSC								
					FSC<IH>								
					FSCA								
					FSCL<IH>								
					FSFRL								
					FSIU								
					FSL								
					FSLF<IH>								
					FSMC								
					FSP-USP								
					FSSR<IH>								
					FSU								
					FSU<IH>								
					FSUM								
					FSUMC								
					FSUNS								
					FT<IH>								
					FTCC								
					FTCMU								
					FTG<IH>								
					FTI								
					FTS<IH>								
					FTU<IH>								
					FU								
					FU<IH>								
					FUB								
					FUE								
					FUEL<IH>								
					FUGR<IH>								
					FUH<IH>								
					FUK<IH>								
					FULD<IH>								
					FUMH<IH>								
					FUMT								
					FURB<IH>								
					FUS<IH>								
					FUSC								
					FVCC<IH>								
					FW<IH>								
					FWM<IH>								
					FWMSH								
					FWRI								
					FWVA<IH>								
					G<IH>								
					GA<IH>								
					GAB<IH>								
					GABAS<IH>								
					GAC<IH>								
					GACP<IH>								
					GADI<IH>								
					GAES<IH>								
					GAFS<IH>								
					GAI<IH>								
					GAIA<IH>								
					GALW<IH>								
					GAM								
					GAM<IH>								
					GAP<IH>								
					GAS<IH>								
					GAT<IH>								
					GAUA<IH>								
					GAUBA<IH>								
					GAUF<IH>								
					GAW<IH>								
					GAZI<IH>								
					GB<IH>								
					GBFM								
					GBG								
					GBNM								
					GBY<IH>								
					GC								
					GC<IH>								
					GCL								
					GCM								
					GCM<IH>								
					GCNP<IH>								
					GCRL								
					GCTP								
					GCU<IH>								
					GDA<IH>								
					GDAC<IH>								
					GDGM<IH>								
					GDMA<IH>								
					GDMM<IH>								
					GDMP<IH>								
					GDOR<IH>								
					GE<IH>								
					GEIC								
					GENT<IH>								
					GEO<IH>								
					GES<IH>								
					GESU<IH>								
					GF<IH>								
					GFBI								
					GFC<IH>								
					GFJP<IH>								
					GFND<IH>								
					GFRC								
					GFS<IH>								
					GFW<IH>								
					GGB<IH>								
					GGM								
					GGO<IH>								
					GGW<IH>								
					GH<IH>								
					GHD<IH>								
					GHG								
					GHPG<IH>								
					GHRI								
					GHS<IH>								
					GI-SPS								
					GI<IH>								
					GIFU								
					GIT								
					GIUV								
					GJO<IH>								
					GKAR<IH>								
					GL<IH>								
					GLA<IH>								
					GLAC								
					GLAHM								
					GLAM<IH>								
					GLANH								
					GLEN<IH>								
					GLFR								
					GLG<IH>								
					GLLB<IH>								
					GLM<IH>								
					GLMC<IH>								
					GLNP								
					GLO<IH>								
					GLOW<IH>								
					GLR<IH>								
					GLW<IH>								
					GM<IH>								
					GMACC								
					GMAU								
					GMBL								
					GMC								
					GMCE								
					GMDRC<IH>								
					GMH								
					GMHH								
					GML								
					GMNGZ								
					GMNH								
					GMNH-PV								
					GMNHJ<IH>								
					GMNP<IH>								
					GMS<IH>								
					GMU<IH>								
					GMUF<IH>								
					GMUG								
					GMUM								
					GMUV								
					GNA<IH>								
					GNDUH<IH>								
					GNHM								
					GNHNA								
					GNHS<IH>								
					GNM								
					GNU<IH>								
					GNUB<IH>								
					GNUC<IH>								
					GNUG<IH>								
					GO<IH>								
					GOD<IH>								
					GOE								
					GOE<IH>								
					GOET<IH>								
					GOFS<IH>								
					GOPU<IH>								
					GOW<IH>								
					GP								
					GPA<IH>								
					GPI								
					GPIH								
					GPIM								
					GPIT								
					GPM								
					GPMK								
					GPPT								
					GR<IH>								
					GRA<IH>								
					GRB								
					GRCAMC								
					GRCH<IH>								
					GREE<IH>								
					GRI<IH>								
					GRIF								
					GRJC<IH>								
					GRK<IH>								
					GRM<IH>								
					GRMP								
					GRO<IH>								
					GRPM								
					GRS<IH>								
					GRSM								
					GRSU<IH>								
					GRSW								
					GRTE<IH>								
					GSAT								
					GSC								
					GSDNM								
					GSFS<IH>								
					GSGSSI<IH>								
					GSI								
					GSM								
					GSMNP<IH>								
					GSN								
					GSO<IH>								
					GSP								
					GSU<IH>								
					GSW<IH>								
					GSZE								
					GTC								
					GTC-GIFU								
					GTM<IH>								
					GTNP								
					GTV								
					GU<IH>								
					GUA<IH>								
					GUAD<IH>								
					GUADA<IH>								
					GUAM<IH>								
					GUAT<IH>								
					GUAY<IH>								
					GUBH<IH>								
					GUCM<IH>								
					GUH<IH>								
					GUL<IH>								
					GUM								
					GUMACC								
					GUYN<IH>								
					GVF								
					GVSC<IH>								
					GW<IH>								
					GXCM<IH>								
					GXDC<IH>								
					GXEM<IH>								
					GXF<IH>								
					GXFI<IH>								
					GXFS<IH>								
					GXMG<IH>								
					GXMI<IH>								
					GXNM<IH>								
					GXSP<IH>								
					GZAC<IH>								
					GZM								
					GZTM<IH>								
					GZU<IH>								
					H-GSP								
					H<IH>								
					HA<IH>								
					HABA<IH>								
					HABAYC<IH>								
					HABE<IH>								
					HAC<IH>								
					HACC<IH>								
					HACW								
					HAF<IH>								
					HAH<IH>								
					HAI<IH>								
					HAJB<IH>								
					HAJU<IH>								
					HAK<IH>								
					HAKS<IH>								
					HAL<IH>								
					HALA<IH>								
					HALE<IH>								
					HALLE								
					HALLST<IH>								
					HALX<IH>								
					HAM<IH>								
					HAMAB<IH>								
					HAMBI								
					HAMU<IH>								
					HAN<IH>								
					HANC<IH>								
					HANU<IH>								
					HAO<IH>								
					HAQ<IH>								
					HAS<IH>								
					HAST<IH>								
					HASU<IH>								
					HAUH								
					HAVI<IH>								
					HAVO								
					HAW<IH>								
					HAX<IH>								
					HAY<IH>								
					HB<IH>								
					HBA<IH>								
					HBAU<IH>								
					HBAUD<IH>								
					HBBS<IH>								
					HBC								
					HBDC<IH>								
					HBFC<IH>								
					HBFH<IH>								
					HBG								
					HBG<IH>								
					HBI<IH>								
					HBIL<IH>								
					HBNU<IH>								
					HBOM								
					HBR<IH>								
					HBRA<IH>								
					HBUM								
					HC<IH>								
					HCAT<IH>								
					HCB<IH>								
					HCCA								
					HCCN<IH>								
					HCCV								
					HCDAL<IH>								
					HCEN<IH>								
					HCF<IH>								
					HCH<IH>								
					HCHM<IH>								
					HCIB<IH>								
					HCIO<IH>								
					HCMS<IH>								
					HCMZ								
					HCNHSC								
					HCOA<IH>								
					HCOM<IH>								
					HCT<IH>								
					HCTR								
					HDD<IH>								
					HDJF<IH>								
					HDOA								
					HDSM<IH>								
					HDTC<IH>								
					HEAC<IH>								
					HEB<IH>								
					HEBI<IH>								
					HECM<IH>								
					HEFG<IH>								
					HEH<IH>								
					HEID<IH>								
					HEL<IH>								
					HEM<IH>								
					HEMS								
					HENA								
					HEND<IH>								
					HENNU								
					HENU<IH>								
					HEPH<IH>								
					HER								
					HER<IH>								
					HERBAM<IH>								
					HERT<IH>								
					HERZ<IH>								
					HERZU<IH>								
					HF<IH>								
					HFB<IH>								
					HFBG<IH>								
					HFCC								
					HFD<IH>								
					HFLA<IH>								
					HFP								
					HFR<IH>								
					HFRI								
					HFSL<IH>								
					HFV<IH>								
					HFW<IH>								
					HFX<IH>								
					HGAS<IH>								
					HGCRL<IH>								
					HGI<IH>								
					HGM								
					HGM<IH>								
					HGOM<IH>								
					HGS<IH>								
					HGTC<IH>								
					HH<IH>								
					HHBG<IH>								
					HHC<IH>								
					HHH<IH>								
					HHM<IH>								
					HHU								
					HHU<IH>								
					HHUA<IH>								
					HHUF<IH>								
					HIB<IH>								
					HIC								
					HIFP<IH>								
					HILL<IH>								
					HIMC<IH>								
					HIN<IH>								
					HIP<IH>								
					HIPC<IH>								
					HIRO<IH>								
					HIRU<IH>								
					HITBC<IH>								
					HIUW								
					HIWNT<IH>								
					HJBL<IH>								
					HJBS<IH>								
					HK<IH>								
					HKAS								
					HKBU<IH>								
					HKFRS								
					HKGL<IH>								
					HKS<IH>								
					HKU<IH>								
					HKUCC								
					HL<IH>								
					HLA<IH>								
					HLCM<IH>								
					HLD								
					HLDG<IH>								
					HLL<IH>								
					HLMA<IH>								
					HLMD								
					HLNM<IH>								
					HLO<IH>								
					HLSD<IH>								
					HLU<IH>								
					HLUC<IH>								
					HLUL<IH>								
					HLX<IH>								
					HM								
					HM<IH>								
					HMAS<IH>								
					HMC<IH>								
					HME<IH>								
					HMH								
					HMIM<IH>								
					HMJAU								
					HMLN<IH>								
					HMM<IH>								
					HMMNH<IH>								
					HMN								
					HMNH								
					HMNR<IH>								
					HMNS								
					HMNT								
					HMP<IH>								
					HMS<IH>								
					HMUG								
					HN<IH>								
					HNBU<IH>								
					HNCMB								
					HNG<IH>								
					HNH<IH>								
					HNHH								
					HNHM								
					HNHM<IH>								
					HNHR								
					HNIP<IH>								
					HNL<IH>								
					HNM<IH>								
					HNMN<IH>								
					HNN<IH>								
					HNNU<IH>								
					HNPGBI<IH>								
					HNR<IH>								
					HNT<IH>								
					HNTS<IH>								
					HNU								
					HNU<IH>								
					HNUB<IH>								
					HNWP<IH>								
					HNWU<IH>								
					HO<IH>								
					HOH<IH>								
					HOLZ								
					HOMP<IH>								
					HON<IH>								
					HOU<IH>								
					HOXA<IH>								
					HPBR<IH>								
					HPC<IH>								
					HPD<IH>								
					HPDL<IH>								
					HPH<IH>								
					HPL<IH>								
					HPM<IH>								
					HPNP<IH>								
					HPP<IH>								
					HPPR<IH>								
					HPSU<IH>								
					HPU<IH>								
					HPUJ<IH>								
					HPVC<IH>								
					HR<IH>								
					HRB<IH>								
					HRCB<IH>								
					HRJ<IH>								
					HRP<IH>								
					HSB<IH>								
					HSBU<IH>								
					HSC<IH>								
					HSCC								
					HSI<IH>								
					HSIB<IH>								
					HSIC								
					HSM<IH>								
					HSNU<IH>								
					HSS<IH>								
					HSU								
					HSU<IH>								
					HSUCV								
					HSUD<IH>								
					HSUE								
					HSUMZ								
					HSUVM								
					HSUWM								
					HTC<IH>								
					HTD<IH>								
					HTE<IH>								
					HTGN<IH>								
					HTIN<IH>								
					HTN<IH>								
					HTO<IH>								
					HTTU<IH>								
					HTU<IH>								
					HTW<IH>								
					HU<IH>								
					HUA<IH>								
					HUAA<IH>								
					HUAL<IH>								
					HUAP<IH>								
					HUAZ<IH>								
					HUB<IH>								
					HUBE<IH>								
					HUBO<IH>								
					HUC<IH>								
					HUCM<IH>								
					HUCP<IH>								
					HUDC<IH>								
					HUE<IH>								
					HUEF<IH>								
					HUEFS<IH>								
					HUEG<IH>								
					HUEM<IH>								
					HUESBVC<IH>								
					HUF<IH>								
					HUFU<IH>								
					HUIC								
					HUIF<IH>								
					HUIST								
					HUJ<IH>								
					HUKUK								
					HUL<IH>								
					HULE<IH>								
					HUM								
					HUMC<IH>								
					HUMO<IH>								
					HUMP<IH>								
					HUMZ								
					HUNEB<IH>								
					HUP<IH>								
					HUPG<IH>								
					HUQ<IH>								
					HURB<IH>								
					HURG<IH>								
					HUS<IH>								
					HUSA<IH>								
					HUSC<IH>								
					HUSEC								
					HUST<IH>								
					HUT								
					HUT<IH>								
					HUTB<IH>								
					HUTM<IH>								
					HUTPL<IH>								
					HUVA<IH>								
					HVASF<IH>								
					HVR<IH>								
					HWA<IH>								
					HWB<IH>								
					HWBA<IH>								
					HWD<IH>								
					HWML								
					HXBH<IH>								
					HXC<IH>								
					HY<IH>								
					HYD<IH>								
					HYO<IH>								
					HZI								
					HZM								
					HZMZ								
					HZTC<IH>								
					HZU<IH>								
					HpKTCC								
					Hyogo								
					I<IH>								
					IA<IH>								
					IAA<IH>								
					IAAA								
					IABH<IH>								
					IABHU								
					IAC<IH>								
					IACC								
					IACM<IH>								
					IADIZA-CM								
					IAFB								
					IAGB<IH>								
					IAL								
					IAL<IH>								
					IALCEL								
					IALMIC								
					IAM								
					IAN<IH>								
					IAPG								
					IARI<IH>								
					IASI<IH>								
					IAUGH<IH>								
					IAUH<IH>								
					IAUM<IH>								
					IAUNT<IH>								
					IAV<IH>								
					IAVH								
					IB<IH>								
					IBA								
					IBA<IH>								
					IBAR<IH>								
					IBAUNC								
					IBE								
					IBE<IH>								
					IBEF								
					IBF<IH>								
					IBGE<IH>								
					IBH								
					IBI<IH>								
					IBIR<IH>								
					IBIW<IH>								
					IBK<IH>								
					IBL								
					IBL<IH>								
					IBLP								
					IBMUNC								
					IBP<IH>								
					IBRC								
					IBRP								
					IBS<IH>								
					IBSBF								
					IBSC<IH>								
					IBSD<IH>								
					IBSP								
					IBT								
					IBTS								
					IBUG<IH>								
					IBUNAM								
					IBUP								
					IBUS								
					IBUT								
					IBY<IH>								
					ICA<IH>								
					ICARDA								
					ICBB								
					ICBU								
					ICCF								
					ICEB<IH>								
					ICEL<IH>								
					ICESI<IH>								
					ICF<IH>								
					ICFC								
					ICGC								
					ICHUM								
					ICIS								
					ICM								
					ICMP								
					ICN								
					ICN<IH>								
					ICNMNH								
					ICP<IH>								
					ICPB								
					ICPPB								
					ICPR								
					ICRC								
					ICRG								
					ICRI								
					ICRISAT								
					ICS-CC								
					ICST<IH>								
					ICUI								
					ICVI								
					ID<IH>								
					IDAC								
					IDEA								
					IDF<IH>								
					IDS<IH>								
					IE								
					IEA								
					IEA<IH>								
					IEAB								
					IEAM								
					IEAP								
					IEAPM								
					IEAS								
					IEAU								
					IEB<IH>								
					IEBC								
					IEC<IH>								
					IECA								
					IEEUACH								
					IEGG								
					IEGM								
					IEI								
					IEM								
					IEME								
					IEMM								
					IENU								
					IEPA								
					IER<IH>								
					IEUC								
					IEUP								
					IEVB								
					IFAM								
					IFAN								
					IFAN<IH>								
					IFBM								
					IFE<IH>								
					IFFB								
					IFG								
					IFGD								
					IFGH<IH>								
					IFGP<IH>								
					IFI								
					IFM								
					IFO<IH>								
					IFP<IH>								
					IFRD<IH>								
					IFREMER								
					IFRI								
					IFRPD								
					IFSA								
					IG								
					IGB								
					IGC								
					IGCAGS								
					IGCU								
					IGESALQ								
					IGF								
					IGL								
					IGM								
					IGPH								
					IGUS								
					IGWH								
					IH<IH>								
					IHASW								
					IHB								
					IHCAS								
					IHEM								
					IHUG								
					IIBM-UNAM								
					IIBUV								
					IICT								
					IID								
					IIES								
					IIPB								
					IITA								
					IJ<IH>								
					IJFM								
					IJSM								
					IK								
					ILCA<IH>								
					ILF<IH>								
					ILH<IH>								
					ILL<IH>								
					ILLS<IH>								
					ILMA								
					ILPLA								
					ILSbio								
					IM								
					IM<IH>								
					IMAGE								
					IMARPE								
					IMAU								
					IMC<IH>								
					IMCC								
					IMD								
					IMD<IH>								
					IMDC<IH>								
					IMDY<IH>								
					IMET								
					IMFA<IH>								
					IMI								
					IMI<IH>								
					IML								
					IMLA								
					IMM								
					IMM<IH>								
					IMMH								
					IMMIB								
					IMPC<IH>								
					IMRU								
					IMS								
					IMS<IH>								
					IMSNU								
					IMSSM<IH>								
					IMT								
					IMTU								
					IMUFRJ								
					IMVS								
					IMYZA								
					INA								
					INA<IH>								
					INALI								
					INB<IH>								
					INBC								
					INBP								
					INBio								
					INC								
					INCQS								
					IND-AN								
					IND-M								
					IND<IH>								
					INDRE								
					INEGI<IH>								
					INEP<IH>								
					INER								
					INFYB<IH>								
					INGU<IH>								
					INH<IH>								
					INHM								
					INHS								
					INIA								
					INIBP								
					INIDA								
					INIDEP								
					INIF								
					INIF<IH>								
					INIFAT								
					INIP								
					INIR								
					INLA								
					INM								
					INM<IH>								
					INMI								
					INPA								
					INPA<IH>								
					INPC								
					INRA								
					INSM								
					INU<IH>								
					INV<IH>								
					INVA<IH>								
					INVAM								
					INVEMAR								
					IO								
					IOAN								
					IOC								
					IOC<IH>								
					IOCAS								
					IOEB								
					IOH								
					IOM								
					IOPM								
					IORD								
					IOS								
					IOUSP								
					IOWA								
					IPA<IH>								
					IPAE								
					IPB								
					IPB<IH>								
					IPBIR								
					IPCN<IH>								
					IPEE RAS								
					IPEF								
					IPFUB								
					IPGR								
					IPHG								
					IPK								
					IPKUP								
					IPLA								
					IPMB								
					IPMC								
					IPMGO								
					IPMY<IH>								
					IPN								
					IPO<IH>								
					IPPAS								
					IPRN<IH>								
					IPS<IH>								
					IPSLI<IH>								
					IPSM								
					IPSN								
					IPT								
					IPTB								
					IPUW								
					IPW								
					IQW<IH>								
					IRAG								
					IRAI<IH>								
					IRAN<IH>								
					IRBR<IH>								
					IRCW								
					IRDA<IH>								
					IREC								
					IRGC								
					IRK<IH>								
					IRKU<IH>								
					IRP<IH>								
					IRRI								
